w_warehouse_sk,w_warehouse_id,w_warehouse_name,w_warehouse_sq_ft,w_street_number,w_street_name,w_street_type,w_suite_number,w_city,w_county,w_state,w_zip,w_country,w_gmt_offset
1,AAAAAAAABAAAAAAA,Conventional childr,977787,651       ,6th ,Parkway        ,Suite 470 ,Riverside,Ziebach County,SD,59231     ,United States,-6.00
2,AAAAAAAACAAAAAAA,Important issues liv,138504,600       ,View First,Avenue         ,Suite P   ,Fairview,Walker County,AL,35709     ,United States,-6.00
3,AAAAAAAADAAAAAAA,Doors canno,294242,534       ,Ash Laurel,Dr.            ,Suite 0   ,Riverside,Ziebach County,SD,59231     ,United States,-6.00
4,AAAAAAAAEAAAAAAA,Bad cards must make.,621234,368       ,Wilson Elm,Drive          ,Suite 80  ,Fairview,Ziebach County,SD,55709     ,United States,-6.00
5,AAAAAAAAFAAAAAAA,,,          ,,               ,          ,Riverside,Walker County,AL,39231     ,United States,
6,AAAAAAAAGAAAAAAA,Local  mass universi,838797,957       ,Lincoln Adams,Dr.            ,Suite X   ,Riverside,Ziebach County,SD,59231     ,United States,-6.00
7,AAAAAAAAHAAAAAAA,Quite effectiv,662475,69        ,7th Sunset,Ct.            ,Suite 350 ,Pleasant Hill,Ziebach County,SD,53604     ,United States,-6.00
8,AAAAAAAAIAAAAAAA,Plain  reluctant,514427,410       ,3rd ,ST             ,Suite 370 ,Riverside,Ziebach County,SD,59231     ,United States,-6.00
9,AAAAAAAAJAAAAAAA,Rooms cook ,73065,420       ,Spring ,Wy             ,Suite I   ,Oak Grove,Ziebach County,SD,58370     ,United States,-6.00
10,AAAAAAAAKAAAAAAA,National  comple,914242,269       ,Elm Madison,Street         ,Suite 90  ,Pleasant Hill,Ziebach County,SD,53604     ,United States,-6.00
